regionID,sumDeliveries,zipCode,city,lat,lon
296,912,10520,CASATEJADA,39.8864,-5.6819
297,5793,43422,BARBERA DE LA CONCA,41.4,1.2333
298,642,27720,PUENTE NUEVO,43.3262,-7.1462
299,513,21660,MINAS DE RIOTINTO,37.6969,-6.5943
300,7163,34410,MONZÓN DE CAMPOS,42.11600000000001,-4.4928
301,266,32540,"GUDIÑA, LA",42.011,-7.0647
302,7651,13003,CIUDAD REAL,38.9863,-3.9291
303,387,37310,MACOTERA,40.830999999999996,-5.2853
304,665,32800,CELANOVA,42.153,-7.9551
305,88033,48006,BILBAO,43.2627,-2.9253
306,416,14206,VALSEQUILLO,38.4,-5.35
307,877,10616,CASAS DEL CASTAÑAR,40.1132,-5.899
308,784,39696,SELAYA,43.206,-3.7746
309,381,45640,REAL DE SAN VICENTE (EL),40.0918,-4.6769
310,1181,27865,OUROL,43.55,-7.6
311,315,49200,BERMILLO DE SAYAGO,41.3665,-6.1122
312,4327,45790,QUERO,39.5111,-3.2474
313,248,15337,BARQUERO (MAÑON),43.7716,-7.805716666666666
314,607,12400,SEGORBE,39.85,-0.4833
315,881,36860,PONTEAREAS,42.1778,-8.5
316,186,14260,FUENTE LA LANCHA,38.4167,-5.0333
317,526,10630,PINOFRANQUEADO,40.2907,-6.3328000000000015
318,985,10440,ALDEANUEVA DE LA VERA,40.1271,-5.7015
319,55777,8120,HOSPITALET DE LLOBREGAT,41.5143,2.193
320,2918,13500,PUERTOLLANO,38.6871,-4.1073
321,24007,28411,MORALZARZAL,40.6782,-3.9707
322,108799,28903,GETAFE,40.3057,-3.7329
323,1332,10800,CORIA,39.9879,-6.5377
324,3138,23009,JAEN,37.7692,-3.7903
325,4891,17174,SAN FELIU DE PALLAROL,42.1167,2.5213
326,3263,18151,"OGIJARES, LOS",37.1191,-3.6077
327,740,13100,PIEDRABUENA,39.0354,-4.1751
328,2205,25125,ALGUAIRE,41.736999999999995,0.5845
329,235,21449,LEPE,37.2071,-7.22325
330,13289,45002,TOLEDO,39.8581,-4.0226
331,695,15080,CORUÑA A,42.3749,-7.8049
332,219,12185,CUEVAS DE VINROMA,40.3098,0.1354
333,4904,40593,SEGOVIA,41.28100000000001,-3.6014
334,1134,19133,BUDIA,40.6273,-2.7545142857142855
335,4813,43878,MASDENVERGE,40.716,0.5301
336,24974,8211,CASTELLAR DEL VALLES,41.6167,2.075
337,583,13412,CHILLON,38.796,-4.8663
338,4684,45800,QUINTANAR DE LA ORDEN,39.5937,-3.0417
339,1364,15863,"BAÑA, LA",42.9054,-8.691599999999998
340,1700,45170,SAN MARTIN DE PUSA,39.784,-4.6325
341,692,27620,SAMOS,42.7329,-7.32
342,1212,13670,VILLARRUBIA DE LOS OJOS,39.2208,-3.608
343,1592,49190,MORALES DEL VINO,41.4474,-5.7307
344,800,15320,PUENTES DE GARCIA RODRIGUEZ,43.4262,-7.9567
345,8896,39530,PUENTE SAN MIGUEL,43.3615,-4.0862
346,8204,8240,MANRESA,41.725,1.8448
347,96,49610,SANTIBAÑEZ DE VIDRIALES,42.0736,-6.0155
348,1046,22660,ESCARRILLA,42.7354,-0.3132
349,890,14730,POSADAS,37.8021,-5.1073
350,18546,17452,MASSANET DE LA SELVA,41.7654,2.6532
351,3243,33640,UJO,43.2055,-5.7921000000000005
352,694,27163,CORGO,42.8784,-7.384918181818179
353,1090,16250,CASTILLEJO DE INIESTA,39.5333,-1.7667
354,13274,15704,SANTIAGO DE COMPOSTELA,42.8805,-8.5457
355,922,25750,TORA,41.8167,1.4
356,1071,25793,COLL DE NARGO,42.1747,1.2571
357,3245,17142,VERGES,42.0628,3.0458
358,1095,28649,ROZAS DE PUERTO REAL,40.3167,-4.4833
359,3433,31360,FUNES,42.3156,-1.8002
360,3450,24410,CAMPONARAYA,42.6167,-6.671883333333334
361,690,31150,MENDIGORRIA,42.6038,-1.8448666666666669
362,760,14914,PALENCIANA,37.2485,-4.5826
363,20446,12540,VILA-REAL,39.9333,-0.1
364,503,22533,BELVER DE CINCA,41.7212,0.2527
365,779,16320,TALAYUELAS,39.85,-1.2833
366,14570,40003,SEGOVIA,40.9481,-4.1184
367,394,24800,CISTIERNA,42.8034,-5.1266
368,183,19005,GUADALAJARA,40.6286,-3.1618
369,426,14350,CERRO MURIANO,37.8916,-4.7727
370,904,33584,SEVARES,43.3687,-5.26221875
371,236,10864,TORRE DE DON MIGUEL,40.2233,-6.5769
372,15296,8394,SANT VICENC DE MONTALT,41.5785,2.5088
373,183,50344,MORATA DE JILOCA,41.24800000000001,-1.5867
374,4710,44001,TERUEL,40.3456,-1.1065
375,771,25599,ARTIES,42.7006,0.8709
376,139,14460,DOS TORRES,38.45,-4.9
377,850,16640,BELMONTE,39.5575,-2.7046
378,1630,27260,CASTRO RIBERAS DE LEA,43.1558,-7.5043
379,5157,46418,RIOLA,39.1833,-0.3
380,635,25560,SORT,42.4132,1.1305
381,177,47310,CAMPASPERO,41.4921,-4.1961
382,1520,47230,MATAPOZUELOS,41.4142,-4.7912
383,4555,36400,"PORRIÑO, O",42.2603,-8.4818
384,340,16100,VALVERDE DE JUCAR,39.7187,-2.2214
385,13878,17474,TORROELLA DE FLUVIA,42.1752,3.0359
386,3438,18680,SALOBREÑA,36.7468,-3.59425
387,472,8518,GURB,41.9333,2.0667
388,4518,28720,BUSTARVIEJO,40.8572,-3.7077
389,8085,23004,JAEN,37.7692,-3.7903
390,688,41660,VILLANUEVA DE SAN JUAN,37.0495,-5.1754
391,1243,50290,EPILA,41.6005,-1.2801
392,2846,13740,TORRENUEVA,38.6396,-3.3626
393,27058,28690,BRUNETE,40.4053,-3.9985
394,5782,8552,TARADELL,41.8749,2.2866
395,5312,49021,ZAMORA,41.5063,-5.7446
396,380,23180,FUERTE DEL REY,37.8749,-3.8839
397,1732,8573,ORIS,42.0597,2.2207
398,145,42100,AGREDA,41.8559,-1.9224
399,1683,8610,AVIA,42.0667,1.85
400,965,44570,CALANDA,40.9415,-0.2324
401,1486,8612,MONTMAJOR,42.0175,1.735
402,2027,36691,SOTOMAYOR,42.3358,-8.596199999999998
403,8676,16003,CUENCA,40.0667,-2.1333
404,281,44460,SARRION,40.1333,-0.8167
405,837,14200,PEÑARROYA-PUEBLONUEVO,38.3,-5.2667
406,2517,41760,"CORONIL, EL",37.0795,-5.6341
